"text";"label";"source"
"@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima";"neutral";"intertass_2017"
"@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!";"positive";"intertass_2017"
"Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda";"negative";"intertass_2017"
"Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos";"neutral";"intertass_2017"
"FF a los geniales de @user !!";"positive";"intertass_2017"
"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm";"negative";"intertass_2017"
"sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.";"neutral";"intertass_2017"
"2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos";"positive";"intertass_2017"
"Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!";"negative";"intertass_2017"
"Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…";"neutral";"intertass_2017"
"@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).";"positive";"intertass_2017"
"Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal";"negative";"intertass_2017"
"@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.";"neutral";"intertass_2017"
"@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras";"positive";"intertass_2017"
"Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro";"negative";"intertass_2017"
"Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente";"neutral";"intertass_2017"
"Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos";"positive";"intertass_2017"
"Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!";"negative";"intertass_2017"
"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.";"neutral";"intertass_2017"
"Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http";"positive";"intertass_2017"
"Cuando pasan de tu p*** cara  😢";"negative";"intertass_2017"
"@user la divaza te tiene cansado toda la noche no te deja dormir";"neutral";"intertass_2017"
"Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?";"positive";"intertass_2017"
"No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo";"negative";"intertass_2017"
"@user No se , creo que no . Yo solo mire mi fecha";"neutral";"intertass_2017"
"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor";"positive";"intertass_2017"
"@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres";"negative";"intertass_2017"
"@user hoy tengo libre JAJA , viernes no puedo";"neutral";"intertass_2017"
"@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...";"positive";"intertass_2017"
"@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte";"negative";"intertass_2017"
"ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie";"neutral";"intertass_2017"
"Sólo la Karlita me entiende y me da buenos consejos";"positive";"intertass_2017"
"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas";"negative";"intertass_2017"
"Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe";"neutral";"intertass_2017"
"Tengamos un día lleno de magia y lindos momentos";"positive";"intertass_2017"
"Después de unos cuatro días de ermitaña, salir al sol no me hizo muy bien fiebre largate";"negative";"intertass_2017"
"@user todo lo que sea posible";"neutral";"intertass_2017"
"Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja";"positive";"intertass_2017"
"Difícilmente el quiera algo serio con ust si todo empezó por yaleo y nudes respétese y verá que la buscan para algo serio y bonito️";"negative";"intertass_2017"
"cuando estás conversando de la más tranquila y te hacen recordar que mataron al perro de majin boo";"neutral";"intertass_2017"
"@user gracias Manuel por este arte de recoger mi texto en tu revista  Un abrazo grande!";"positive";"intertass_2017"
"Quiero comer algo, aunque estoy llena";"negative";"intertass_2017"
"No sabía que el amor de mi vida iba a cantar. Hubiese visto el programa.";"neutral";"intertass_2017"
"@user y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel";"positive";"intertass_2017"
"glowen sigue a cuentas inactivas y es en plan oh seguro que esas cuentas te dan mucho más apoyo que a las que le diste unf JAJAJA";"negative";"intertass_2017"
"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma";"neutral";"intertass_2017"
"@user @user @user @user @user Gran capacidad de análisis de @user en esa entrevista. #visión";"positive";"intertass_2017"
"Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante";"negative";"intertass_2017"
"Ha ardido una caravana aparcada al lado de la playa   Fuego ya sofocado por los bomberos @… http";"neutral";"intertass_2017"
"#SinPelosEnLaLengua Además,la novia de luz esta buena  Que opináis de @user maricon??";"positive";"intertass_2017"
"Atm veo los 7 primeros teams un poco lejos de los 3 últimos. A ver que pasa si mejoran y/o cambian sus estrategias etc idk";"negative";"intertass_2017"
"El huequito del septum no se me ha cerrado por completo pero ya no me cabe la pieza";"neutral";"intertass_2017"
"@user Que guapísimo , dejaron mendizorroza, pero San mames ... de los + guapos del MUNDO¡¡ sin duda.(opinión)";"positive";"intertass_2017"
"Por payasa debo hacer un trabajo grupal para mañana, algunos grupos aún no terminan y yo tengo que hacerlo en máximo 2 horas";"negative";"intertass_2017"
"Después de siete largos años vuelvo a pasar navidad junto con mi mamá, mi papá y mi hermana. Todos juntos con una yapita de sobrino.";"neutral";"intertass_2017"
"@user 1000/10 de verdad a ti que voy a decir petarda que te quiero más que a mí mismo  ✨";"positive";"intertass_2017"
"ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas   - machirulo   QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA";"negative";"intertass_2017"
"@user @user dicen que tira pa, san Mateo ahora Jaaja";"neutral";"intertass_2017"
"@user @user ¿Será solo digital entonces? ¡Perfecto! De verdad muchísimas gracias Un abrazo desde Costa Rica. ¡Pura vida!";"positive";"intertass_2017"
"@user joder como te entiendo  nosotros literalmente nos tenemos que saltar las clases e ir a un centro comercial si queremos kkar";"negative";"intertass_2017"
"Decidido: lanzo canal de YouTube. Con qué canción o con qué tema me aconsejan que empiece?";"neutral";"intertass_2017"
"Ese aplauso para Diego Luna y Felicity Jones fue estruendoso. Tengo ganas de ver Rogue One y no puedo";"positive";"intertass_2017"
"Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa";"negative";"intertass_2017"
"Nicole choteando idiotas desde tiempos inmemorables!";"neutral";"intertass_2017"
"@user Por cierto, encantado de conocerte virtualmente  Tenemos a @user en común. Saludetes.";"positive";"intertass_2017"
"@user necesito mi ración de atención diaria que si no no mantengo la autoestima";"negative";"intertass_2017"
"@user @user Fue la última vez que fuimos al cine";"neutral";"intertass_2017"
"@user Pero es que está muy rica";"positive";"intertass_2017"
"@user @user La pena es que no incluya a modo de extra el original. Con el de consola te lo regalaban con el preorder";"negative";"intertass_2017"
"Si pudiese cantar bonito no dejaría de hacerlo con ""Come what may"" de Moulin Rouge";"neutral";"intertass_2017"
"@user ya mismo seguro! Un abrazo fuerte";"positive";"intertass_2017"
"Las horas que son y sigo sin ser capaz de ponerme a estudiar....el sueño puede conmigo";"negative";"intertass_2017"
"@user lo se  pero no miraba la acc, solo miraba de vez en cuando el combo y me emocionada y nervios y shit";"neutral";"intertass_2017"
"@user Que bonita zona de entreno escogieron";"positive";"intertass_2017"
"Creo que voy a ponerme talking to the moon de Bruno Mars porque estoy plof y esa cancion es tan triste que";"negative";"intertass_2017"
"@user Yo también vi la peli y lloré lo que no está escrito  Ahora estoy leyendo el libro y me estoy echando unas risas impresionantes!";"neutral";"intertass_2017"
"Envidio de buena manera a los que tienen la oportunidad de ir mañana al estadio";"positive";"intertass_2017"
"#MePasóPorPavazo @user Amigo que guapo eres, mi amiga y yo queremos hacer un trio, y yo todo ganador, Me pepearon @user";"negative";"intertass_2017"
"@user Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche";"neutral";"intertass_2017"
"y sin querer me han elevado la barra, para seguir preparandome...waoooo este extraordinario mundo del cafe loveyou️️";"positive";"intertass_2017"
"Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors";"negative";"intertass_2017"
"Yo sé que estot todo el día diciéndolo peeeero vamos a merendar a algún sitio cuki";"neutral";"intertass_2017"
"@user no las des preciosa";"positive";"intertass_2017"
"Bueeeeno... no me siento bien. Gracias playlist por cagarme peor";"negative";"intertass_2017"
"yo esque los veranos curro, asi que no puedo quedar mucho  pero si algun dia te pasas avisa y vamos a full hd  @user";"neutral";"intertass_2017"
"No todo es orines y ceniza: hoy vi una niña con patines y casco divirtiéndose en la Plaza de la Cultura, y fue muy lindo";"positive";"intertass_2017"
"@user  Ahora es Abel quien está resfriado  es lo ke tiene estar juntos todo el tiempo jajaja el curro bien?";"negative";"intertass_2017"
"@user @user sí, celulares distintos en realidad";"neutral";"intertass_2017"
"salir de trabajar, mirar un par de cosas del canal e irme al cine a ver mascotas con los amigos¡ planazo de sabado";"positive";"intertass_2017"
"@user @user Hablaba normal, con alguien, antes de q usted se metiera insultando. Debería tener más educación";"negative";"intertass_2017"
"¿Nadie quiere hacer de Uber y llevarme hasta Tarrazú?";"neutral";"intertass_2017"
"@user menos mal que no has dicho escuchal 😂😂😂😂😂 #enlacabezaNo #loSiento";"positive";"intertass_2017"
"Que ganas tengo de volver a disfruta pronto de él y que lejano lo veo    #SiNoEstás4días";"negative";"intertass_2017"
"#2017prometoque recuperare estado fisico, seguire amando y respetando a mi @user y veere todos los dias @user";"neutral";"intertass_2017"
"Que lindo es tener a la viejita en casa, la extrañé en toda sus formas, desde los gritos por el desorden, hasta su sazón en la comida";"positive";"intertass_2017"
"Mae eso si es cierto, ahora nadie (la mayoría) busca tener algo serio";"negative";"intertass_2017"
"@user En cuando era pequeña y bailaba en mi pueblo descalza con un vestido  ¿Tu?";"neutral";"intertass_2017"
"@user @user Claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. Otra cosa es que te compres el mas barato";"positive";"intertass_2017"
"@user ya sé. y con lo mío es especialmente difícil. bro, esto no es exclusivamente sobre la plata u know this";"negative";"intertass_2017"
""" Para pasar un día complicado, lo mejor un buen bocado! ""   #FelizLunes #AtariSS #Donosti http http";"neutral";"intertass_2017"
"@user Lo mejor de l 2016 fue ver crecer a Ivettly y pasar momentos de alegría y tristeza pero llenos de enseñanzas.";"positive";"intertass_2017"
"A ver, que necesito para ser streamer y conseguir seguidores? -Cam -Micro -Subir algo decente -Tetas  Me faltan las tetas ya no puedo";"negative";"intertass_2017"
"@user es lo que tiene ser el mejor";"neutral";"intertass_2017"
"@user Que tengas un fantástico día Caeli";"positive";"intertass_2017"
"Mañana vuelvo a trabajar después de 15 días de vacaciones. Donde quedan los 3 meses de verano de pequeños?  #QueDuroEsSerAdulto";"negative";"intertass_2017"
"@user @user @user es un término coloquial, no un análisis";"neutral";"intertass_2017"
"@user @user @user Gran programa pero se extraña a Leto !";"positive";"intertass_2017"
"@user sabran los jueces quê es honestidad? ?..y respeto? ?..no postulaba a un mercado de abastos. .si claro p lo q le interesa";"negative";"intertass_2017"
"@user Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...";"neutral";"intertass_2017"
"Los miércoles son lindos, quedarme en casa hasta las 10am me parece un lujo";"positive";"intertass_2017"
"¿Habrá algo peor que no traer los audífonos a la chamba? Estoy muriendo lentamente";"negative";"intertass_2017"
"@user pucha, yo completé el pokedex Perú, solo me faltan los regionales que dudo los consiga y a esperar los legendarios";"neutral";"intertass_2017"
"Hoy se acaba la fiesta más bonita del año! #últimodíadenavidad #bajadadereyes…";"positive";"intertass_2017"
"Pobre ilusa yo, pensé que me haríais algo de caso por una vez";"negative";"intertass_2017"
"@user @user Además cuando dice que se casaría con Ash  o cuando visten de yukata juntos en el festival ayy";"neutral";"intertass_2017"
"""No tenemos la sensación de ir a un trabajo"", din os @user  Eu na ofi lendo o @user, tampouco a teño  http";"positive";"intertass_2017"
"@user @user @user @user @user @user Triste q nada cambie para las mujeres en política en 30 años";"negative";"intertass_2017"
"Tambien subire el changelog a lo largo de estos dias, estaros preparados porque viene todo de golpe!";"neutral";"intertass_2017"
"@user Tambien un buen domingo para ti Fercito, y que tengas una linda semana amigo lleno de aventuras , Saludos de mis tías";"positive";"intertass_2017"
"Yo no me la juego con las mierdas de la suerte, ya tengo muy mala suerte como pa jugarmela";"negative";"intertass_2017"
"¿Os apetece un directo hablando del partido y un poco de la jornada en general? Si veo muchos likes en este tweet me animo";"neutral";"intertass_2017"
"@user @user @user las tengo pero aún no las he leído. Caerán prontito";"positive";"intertass_2017"
"Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada";"negative";"intertass_2017"
"Seré breve: quiero yuquitas y por mi chamba no venden";"neutral";"intertass_2017"
"@user ¡Enhorabuena! Eres la ganadora del sorteo,escríbenos por mensaje privado para darte el premio";"positive";"intertass_2017"
"Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo";"negative";"intertass_2017"
"El era como un profe de ingles gratis para mi , noooooo #VideoMTV2016 @user";"neutral";"intertass_2017"
"Y se acabó El Oso el Tigre y los demás fue bueno mientras duró";"positive";"intertass_2017"
"Es que por las noches en mi cuarto y mi sobremesa me angustio sabéis  Me vengo al sofá con el portátil y el ventilador y eso";"negative";"intertass_2017"
"@user Yo estoy valorando Movistar. Son careros, pero tienen buenas ofertas para el primer año. Y luego ya se verá...  @user";"neutral";"intertass_2017"
"me encantaría mucho tener una buena cámara y saber como usarla a la perfección";"positive";"intertass_2017"
"Cuando contrato 500mbs extra y llevo consumido 3 Gb JAJAJA cuando vea la factura no habrá tanta risa";"negative";"intertass_2017"
"Casi me quedo dormido en el bus hasta Trujillo";"neutral";"intertass_2017"
"@user gracias por tu atenta y puntual bienvenida al curso online. Va a ser un placer trabajar contigo";"positive";"intertass_2017"
"Quieras o no, vivir rodeada de mar, te influye.  Paso un par de semanas sin ir a la playa y ya me hace falta.";"negative";"intertass_2017"
"@user MEMEO AJAJAJ Pues yo llevo.. 3 años sin dar educación física";"neutral";"intertass_2017"
"Estoy contenta, acabo de ver que los gustos que en algún momento transmití sobre una banda en específica, ha llegado a otra persona más.";"positive";"intertass_2017"
"que te echo de menos cosa chicaa!   http";"negative";"intertass_2017"
"@user @user @user @user ...""futbolizando"" la afición auitomovilística.";"neutral";"intertass_2017"
"Ey @user me gustaría escuchar #UnMinutoSinDolor, nuevo single promocional de @user en #LaMejorVariedadMusical de @user";"positive";"intertass_2017"
"Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.";"negative";"intertass_2017"
"A un paso de darle una vuelta completa a nuestro sol Lov u @ El Tizón";"neutral";"intertass_2017"
"Una pizza. Una conversación amena. Amigos. Buena noche";"positive";"intertass_2017"
"Massimo Bottura está en América. Está en México. Y yo estoy aquí, acostada en mi cama, sufriendoooo!!! Quiero conocerlo";"negative";"intertass_2017"
"@user llego a saber que zafreo es igual a cerveceo y voy";"neutral";"intertass_2017"
"Buenos días amigos de Facebook   ¡¡Volvemos a tener Granizados de… http";"positive";"intertass_2017"
"Soy la peor basura del mundo porque, justo hoy Andrea tenía que verme con otra mujer, que mal me sentí.";"negative";"intertass_2017"
"@user yo me mande a traer una XL por ebay y me queda enorme y eso que estoy panzon jaja";"neutral";"intertass_2017"
"El día 2 tengo los exámenes, suena lejano pero es la semana que viene jajaxd";"positive";"intertass_2017"
"Desesperada estoy, trabajaré en cualquier cosa";"negative";"intertass_2017"
"@user Hahahaha no me enoja. Solo juego aunque es cierto";"neutral";"intertass_2017"
"@user ¡muchísimas gracias Blanca! La verdad es que es un plato fácil pero muy rico y vistoso";"positive";"intertass_2017"
"Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.";"negative";"intertass_2017"
"@user @user es que hablo de sus correos corporativos en sus PCs";"neutral";"intertass_2017"
"Pensé que los hacías y compartias por aquí en plan espontáneo, no que tenías una cuenta específica @user. Follow you now again  .";"positive";"intertass_2017"
"@user porque si digo que quiero mamón chino me dicen una vulgaridad";"negative";"intertass_2017"
"Ay Dios he pecado, pero es que ese bikini estaba re lindo y necesitaba bronceador";"neutral";"intertass_2017"
"Me voy mañana para la playa, confiando que el sol me quite esta gripe tan horrible.";"positive";"intertass_2017"
"@user Eso es antiguo ya";"negative";"intertass_2017"
"No Dennis, no puedes cometer los mismo errores, es hora de cambiar y cometer nuevos errores";"neutral";"intertass_2017"
"@user y si puedo trabajar en Madrid, Buenos Aires o Bogotá yo sería también muy feliz hihihihi";"positive";"intertass_2017"
"@user Llévales bibliografía! La evidencia en educación médica existe";"negative";"intertass_2017"
"@user pero podrías rescatar las cosas buenas que te pasaron ánimos";"neutral";"intertass_2017"
"@user que te vaya bien por Murcia mala persiana";"positive";"intertass_2017"
"@user ooops cierto. Me mata @user";"negative";"intertass_2017"
"Último dia en Elche, ahora toca Benidorm";"neutral";"intertass_2017"
"@user jajajaja yo creo que esa fue improvisto eh! muchas grasias hermosa!!";"positive";"intertass_2017"
"@user pura vida. Ya llamé pero fue como no haber llamado.";"negative";"intertass_2017"
"@user Ya ves, parece un comic más maduro pero el dibujo se delata solo";"neutral";"intertass_2017"
"Tenemos nueva actualizacion en F1 2016! Muchos cambios y mejoras   http";"positive";"intertass_2017"
"Me gustaría que Movistar no me deje colgado sin internet después de haberme ido de Orange";"negative";"intertass_2017"
"@user hmmmm no sé, aún las siento pegadas en el cielo de la boca";"neutral";"intertass_2017"
"Segunda sesión del día y ahora ya voy notando la adaptación    Muy cómodo  En ocasiomes hago… http";"positive";"intertass_2017"
"Estos días me encuentro muy débil... espero que se me pase pronto!!!";"negative";"intertass_2017"
"@user Cual es tu helado favorito y comida? Como te parecio Costa Rica cuando viniste y a donde fuiste? Sigueme pls saludos bye";"neutral";"intertass_2017"
"@user Jajaja ahí tenemos gustos diferentes pero así tb se puede hablar de todo  #TonyYSorayaEnMalaga";"positive";"intertass_2017"
"@user pff... Cada vez tengo más claro qje soy mura rara";"negative";"intertass_2017"
"@user una gran oportunidad para que disfrutemos (con @user ) de su trabajo...";"neutral";"intertass_2017"
"No hay nada mejor que ver el estreno de #RogueOne con la mejor compañía";"positive";"intertass_2017"
"@user yo lo único e puedo rescatar es TØP y Coldplay,pero no tengo un cinco.";"negative";"intertass_2017"
"2 meses que parecen una eternidad. no sabes como me haces falta mi querida abuelita";"neutral";"intertass_2017"
"@user Qué buena pinta.. se parece mucho a un ""suquet de rape"" por aquí";"positive";"intertass_2017"
"@user Porque era el primer semestre y te daba miedo faltar. A ver si este año nos abandonas menos.";"negative";"intertass_2017"
"@user acabo de subir una foto con él, pero es el mismo nombre que mi twitter";"neutral";"intertass_2017"
"Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche";"positive";"intertass_2017"
"Como dice @user , se escapa otro verano en un furgón blindado    @salaBBK #Bilbao #QuiqueGonzález  http";"negative";"intertass_2017"
"@user Exacto! Todo lo que él hace lo hace con el corazón y desde el corazón";"neutral";"intertass_2017"
"Bueno, ya he montado la biblioteca y de no tener espacio, con ella me sobran huecos jajaja En unos años estara llenita";"positive";"intertass_2017"
"Con lo que voy a gastar comprándome algo para halloween me compro una mudada y de paso la entrada en 5 mil";"negative";"intertass_2017"
"mi hermoso @user esta que hace live en ig y no puedo ver me quiero morir queria un saludo para las @user";"neutral";"intertass_2017"
"La final de @user esta esta muy interesante";"positive";"intertass_2017"
"mi vida es una mierda primero me enamoro de un macedonio en ibiza y ahora del timbales de la panorama";"negative";"intertass_2017"
"Estoy bien  Muchas gracias a aquellos que preguntais, el problema es que hoy no me dieron cita.. dijeron que imposible";"neutral";"intertass_2017"
"Es que es taaaaaan bonito";"positive";"intertass_2017"
"Pero tenemos fe en que el TEC sea igual de masoquista que siempre y nos haga ir a como de lugar.";"negative";"intertass_2017"
"Miraflores dime que dentro de ti hay buenos polos";"neutral";"intertass_2017"
"Recuerdo cuando le escribía a mi hermana @user para que me motivara y me hiciera sentir útil. Dios me dio a la mejor hermana";"positive";"intertass_2017"
"@user @user jaja y por que lo peor, los juegos de Ubisoft no son tan malos, lo que si es un poco malo es ser solo de Sony";"negative";"intertass_2017"
"@user no porque no los tienes activados a todos";"neutral";"intertass_2017"
"La vida hay que verla de manera optimista. Hay que luchar, hay que ser fuertes ante todo.";"positive";"intertass_2017"
"@user una especie de Titanic pero en versión cutre no?";"negative";"intertass_2017"
"@user hola, te contamos que el incidente que tuvimos con el aspersor ya se solucionó ¡Te esperamos pronto!";"neutral";"intertass_2017"
"Hoy fue la primera vez en 20 años de vida que me comí un Chifrijo jaja Sabía rico, pero si el chicharron no tuviese pellejo sería mejor";"positive";"intertass_2017"
"@user su madre sé suicido y la encontró Chelo muerta";"negative";"intertass_2017"
"@user FELIZ CUMPLEAÑOS JULIAN Z ! q Dios te bendiga muchísimo, un fuerte abrazo desde Huacho";"neutral";"intertass_2017"
"@user Buenos días, un éxito su maratonica, yo me sumé y sé que van a llevar mucha alegría a personas que están sufriendo";"positive";"intertass_2017"
"@user Me enamoré de una bruja, dos veces, es que no hay tanto gato so cansino";"negative";"intertass_2017"
"Ojalá todos tuvieran un techo y comida y pasar una buena noche buena";"neutral";"intertass_2017"
"Recibir este nuevo año en familia es lo más bonito y con un corazón agradecido por tanta bendición de nuestro amado Dios. #Feliz2017";"positive";"intertass_2017"
"Ha muerto mi profesora de volumen/escultura y en serio que bajonazo";"negative";"intertass_2017"
"@user No lo soy lemado";"neutral";"intertass_2017"
"@user que yo soy fiel tío";"positive";"intertass_2017"
"@user ni siquiera llegué para ver las competiciones de Río en directo, solo las barras asimétricas de Aliya";"negative";"intertass_2017"
"¡Hola @user! Una pregunta? La visita a la fábrica es gratuita o hay que pagar algo? Un saludo bonicos y bonicas mios!";"neutral";"intertass_2017"
"@user esa está genial en serio, vamos, vamos un día";"positive";"intertass_2017"
"Ya se que soy lo peor pero jo";"negative";"intertass_2017"
"@user somos dos! jaja ahora eres Martín? oye voy para Lima el prox mes, para el reencuentro d la u, avisas si estarás por esos días";"neutral";"intertass_2017"
